population	model	experiment	year	tasmax	tasmin	ppt
BH	mri-esm2-0	ssp245	2067	311.01266	274.07425	455.2321064533255
BH	mri-esm2-0	ssp245	2068	311.425	277.30902	430.4767776746303
BH	mri-esm2-0	ssp245	2069	312.22437	277.20065	459.8892900743522
BH	mri-esm2-0	ssp245	2070	311.33722	276.21097	1254.9209259682993
BH	mri-esm2-0	ssp370	2041	309.96402	274.43597	593.6203003395349
BH	mri-esm2-0	ssp370	2042	313.58533	275.99048	629.0288216318004
BH	mri-esm2-0	ssp370	2043	310.72568	276.7271	405.23319540079683
BH	mri-esm2-0	ssp370	2044	309.8287	275.52188	592.0966256177053
BH	mri-esm2-0	ssp370	2045	312.2979	275.17206	401.06028565205634
BH	mri-esm2-0	ssp370	2046	309.03033	276.63147	889.3051853519639
BH	mri-esm2-0	ssp370	2047	313.56256	276.33142	1030.4786020656745
BH	mri-esm2-0	ssp370	2048	310.38824	274.52597	371.10837075160816
BH	mri-esm2-0	ssp370	2049	313.58377	275.82565	742.8339196834713
BH	mri-esm2-0	ssp370	2050	308.46008	275.36615	988.4015668532626
BH	mri-esm2-0	ssp370	2051	313.01224	276.69742	990.1525314431638
BH	mri-esm2-0	ssp370	2052	309.94833	275.89722	473.77150809334125
BH	mri-esm2-0	ssp370	2053	311.69174	277.4349	426.4856688911095
BH	mri-esm2-0	ssp370	2054	308.5104	276.07602	838.7564452481456
BH	mri-esm2-0	ssp370	2055	310.308	273.285	780.6999434250984
BH	mri-esm2-0	ssp370	2056	310.447	276.84143	537.4266819446348
BH	mri-esm2-0	ssp370	2057	311.29395	277.87283	825.3919020295066
BH	mri-esm2-0	ssp370	2058	313.51926	276.3803	803.753329999723
BH	mri-esm2-0	ssp370	2059	311.36957	275.17838	470.2040673564624
BH	mri-esm2-0	ssp370	2060	308.24887	275.09293	475.7029933389276
BH	mri-esm2-0	ssp370	2061	311.16226	275.301	1009.4598900061011
BH	mri-esm2-0	ssp370	2062	309.00482	274.24637	563.0032817367464
BH	mri-esm2-0	ssp370	2063	312.37854	275.84262	250.7210277075501
BH	mri-esm2-0	ssp370	2064	312.1888	277.00443	720.8567110122927
BH	mri-esm2-0	ssp370	2065	310.34763	277.65625	398.22079818695784
BH	mri-esm2-0	ssp370	2066	313.07562	276.01987	577.4071471067145
BH	mri-esm2-0	ssp370	2067	314.18542	275.9495	662.317664595319
BH	mri-esm2-0	ssp370	2068	311.58496	275.94843	354.5404690783471
BH	mri-esm2-0	ssp370	2069	311.59534	274.61124	515.8161363797262
BH	mri-esm2-0	ssp370	2070	310.43616	275.66336	1086.1272497568232
CC	access-cm2	ssp245	2041	310.0417	277.82025	1035.4371816501746
CC	access-cm2	ssp245	2042	310.59488	273.8885	794.613810069859
CC	access-cm2	ssp245	2043	311.74432	277.7654	1469.10580733092
CC	access-cm2	ssp245	2044	310.46106	278.35956	732.0045848144218
CC	access-cm2	ssp245	2045	309.5924	278.0565	1193.6232547158993
