population	year	tasmax	tasmin	ppt
SQ3	1987	294.80399932861326	262.9080003738403	1110.7489931583405
SQ3	1988	296.44800033569334	264.5960000991821	1123.0429906845093
SQ3	1989	296.45299949645994	262.6559995651245	736.2520099878311
SQ3	1990	295.80299987792966	263.80200042724607	773.4579982757568
SQ3	1991	295.35800018310545	262.3399995803833	1252.8459696769714
SQ3	1992	296.1639999389648	265.4710000991821	1098.1259942054749
SQ3	1993	294.54500045776365	262.83000030517576	1391.9430003166199
SQ3	1994	296.8519996643066	262.9310001373291	1092.2120195105672
SQ3	1995	295.22200050354	263.9930004119873	2020.3300083314534
SQ3	1996	296.73699989318845	264.49099960327146	2427.93700504303
SQ3	1997	295.9090007781982	264.92499961853025	1275.397988319397
SQ3	1998	297.1649993896484	263.193999671936	1897.1469948291779
SQ3	1999	295.1229995727539	265.27900018692014	805.9640021324158
SQ3	2000	296.3459991455078	264.7540000915527	1372.6989971399307
SQ3	2001	297.95200004577634	262.226000213623	1466.0179752409458
SQ3	2002	298.3379997253418	263.9690002441406	1175.3900168864056
SQ3	2003	298.02299919128416	265.1209997177124	1300.4069861769676
SQ3	2004	296.30099906921384	263.79000034332273	914.0560060217977
SQ3	2005	298.54999961853025	265.5890001296997	1298.226996421814
SQ3	2006	297.8050006866455	261.9699996948242	1406.2320022583008
SQ3	2007	298.0900005340576	262.7219995498657	660.1529960632324
SQ3	2008	298.1250003814697	264.1189998626709	1003.6139808371663
SQ3	2009	298.13800086975095	263.9629997253418	1195.567980770953
SQ3	2010	296.20100059509275	264.73500003814695	1749.2940154373646
TM2	1981	308.0940002441406	277.41100015640257	1331.0380039215088
TM2	1982	306.1299995422363	274.8079999923706	1421.0269966721535
TM2	1983	305.8420013427734	276.55899991989133	1978.3419954776764
TM2	1984	308.92299880981443	275.04400005340574	762.8440051078796
TM2	1985	307.5949996948242	274.1730000019073	661.8149973154068
TM2	1986	307.76800003051756	276.18399991989133	1235.013996720314
TM2	1987	306.8379997253418	274.15600004196165	924.4039768613875
TM2	1988	309.1280006408691	276.1200000286102	790.1859822869301
TM2	1989	307.1840003967285	275.4460000038147	810.0399992465973
TM2	1990	307.51700057983396	273.2690000027418	744.0449944734573
TM2	1991	307.36599960327146	275.7840000629425	892.56600522995
TM2	1992	308.6379989624023	275.30899991989133	981.2659993171692
TM2	1993	305.94899978637693	275.6720000743866	1297.812994003296
TM2	1994	308.3640007019043	274.9859999656677	857.3199888467789
TM2	1995	307.14399948120115	278.45700016021726	1626.350042462349
TM2	1996	308.7289985656738	277.00899996757505	1518.4459997415543
TM2	1997	307.1949981689453	276.72399988174436	995.9619925022125
TM2	1998	308.29500045776365	274.90999999046323	1696.4319944381714
TM2	1999	305.45799865722654	276.63399996757505	788.268009185791
TM2	2000	306.82300033569334	276.9910000801086	1119.4869890213013
TM2	2001	307.2540000915527	276.06799998283384	1066.8910130858421
TM2	2002	307.6140007019043	276.035999917984	986.6390190124512
TM2	2003	309.0230010986328	277.73500003814695	1053.6350045204163
TM2	2004	306.9359992980957	276.5760001182556	927.5060024261475
